45,458168 9,174287
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
49,172142
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
49,172142
49,631001
49,172142
49,811367
49,251869
-15,000000
49,251869
-15,000000
49,251869
49,811367
49,172142
-15,000000
49,172142
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
49,251869
49,811367
49,251869
49,811367
49,172142
-15,000000
49,172142
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
49,631001
49,172142
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
-15,000000
